date,subject_area,count
2018,Environmental Science (miscellaneous),3
2022,Environmental Science (miscellaneous),58
2023,Environmental Science (miscellaneous),27
2021,Environmental Science (miscellaneous),44
2020,Computer Science Applications,86
2019,Computer Science Applications,109
2018,Computer Science Applications,96
2022,Computer Science Applications,187
2023,Computer Science Applications,119
2021,Computer Science Applications,128
2020,Pediatrics,3
2019,Pediatrics,1
2018,Pediatrics,0
2022,Pediatrics,7
2023,Pediatrics,1
2021,Pediatrics,2
2020,"Physical Therapy, Sports Therapy and Rehabilitation",16
2019,"Physical Therapy, Sports Therapy and Rehabilitation",9
2018,"Physical Therapy, Sports Therapy and Rehabilitation",11
2022,"Physical Therapy, Sports Therapy and Rehabilitation",26
2023,"Physical Therapy, Sports Therapy and Rehabilitation",12
2021,"Physical Therapy, Sports Therapy and Rehabilitation",23
2020,Hardware and Architecture,34
2019,Hardware and Architecture,52
2018,Hardware and Architecture,33
2022,Hardware and Architecture,75
2023,Hardware and Architecture,30
2021,Hardware and Architecture,53
2020,Electrochemistry,15
2019,Electrochemistry,9
2018,Electrochemistry,13
2022,Electrochemistry,18
2023,Electrochemistry,17
2021,Electrochemistry,22
2020,Water Science and Technology,25
2019,Water Science and Technology,24
2018,Water Science and Technology,17
2022,Water Science and Technology,27
2023,Water Science and Technology,20
2021,Water Science and Technology,20
2020,Geophysics,4
2019,Geophysics,4
2018,Geophysics,8
2022,Geophysics,3
2023,Geophysics,4
2021,Geophysics,5
