date,subject_area,count
2020,Architecture,6
2019,Architecture,6
2018,Architecture,1
2022,Architecture,20
2023,Architecture,23
2021,Architecture,14
2020,Music,6
2019,Music,1
2018,Music,1
2022,Music,9
2023,Music,7
2021,Music,8
2020,Dental Hygiene,0
2019,Dental Hygiene,1
2018,Dental Hygiene,0
2022,Dental Hygiene,2
2023,Dental Hygiene,0
2021,Dental Hygiene,2
2020,Cellular and Molecular Neuroscience,14
2019,Cellular and Molecular Neuroscience,26
2018,Cellular and Molecular Neuroscience,20
2022,Cellular and Molecular Neuroscience,21
2023,Cellular and Molecular Neuroscience,15
2021,Cellular and Molecular Neuroscience,13
2020,Aquatic Science,40
2019,Aquatic Science,27
2018,Aquatic Science,24
2022,Aquatic Science,63
2023,Aquatic Science,48
2021,Aquatic Science,53
2020,"Management, Monitoring, Policy and Law",34
2019,"Management, Monitoring, Policy and Law",32
2018,"Management, Monitoring, Policy and Law",16
2022,"Management, Monitoring, Policy and Law",88
2023,"Management, Monitoring, Policy and Law",50
2021,"Management, Monitoring, Policy and Law",61
2020,Reproductive Medicine,3
2019,Reproductive Medicine,4
2018,Reproductive Medicine,0
2022,Reproductive Medicine,3
2023,Reproductive Medicine,4
2021,Reproductive Medicine,7
2020,Conservation,6
2019,Conservation,8
2018,Conservation,0
2022,Conservation,10
2023,Conservation,3
2021,Conservation,7
2020,Social Psychology,9
2019,Social Psychology,3
2018,Social Psychology,6
2022,Social Psychology,19
2023,Social Psychology,15
2021,Social Psychology,12
2020,Internal Medicine,13
2019,Internal Medicine,8
2018,Internal Medicine,9
2022,Internal Medicine,13
2023,Internal Medicine,8
2021,Internal Medicine,9
2020,Law,5
2019,Law,11
2018,Law,6
2022,Law,5
2023,Law,4
2021,Law,6
2020,Hematology,29
2019,Hematology,30
2018,Hematology,18
2022,Hematology,35
2023,Hematology,28
2021,Hematology,41
2020,Physics and Astronomy (all),62
2019,Physics and Astronomy (all),71
2018,Physics and Astronomy (all),92
2022,Physics and Astronomy (all),68
2023,Physics and Astronomy (all),46
2021,Physics and Astronomy (all),66
2020,Molecular Biology,84
2019,Molecular Biology,74
2018,Molecular Biology,59
2022,Molecular Biology,101
2023,Molecular Biology,99
2021,Molecular Biology,87
2020,Agronomy and Crop Science,21
2019,Agronomy and Crop Science,22
2018,Agronomy and Crop Science,18
2022,Agronomy and Crop Science,27
2023,Agronomy and Crop Science,30
2021,Agronomy and Crop Science,19
2020,Literature and Literary Theory,10
2019,Literature and Literary Theory,8
2018,Literature and Literary Theory,6
2022,Literature and Literary Theory,8
2023,Literature and Literary Theory,14
2021,Literature and Literary Theory,12
2020,Software,74
2019,Software,69
2018,Software,56
2022,Software,58
2023,Software,31
2021,Software,50
2020,Applied Mathematics,18
2019,Applied Mathematics,11
2018,Applied Mathematics,16
2022,Applied Mathematics,31
2023,Applied Mathematics,19
2021,Applied Mathematics,22
2020,Physics and Astronomy (miscellaneous),33
2019,Physics and Astronomy (miscellaneous),42
2018,Physics and Astronomy (miscellaneous),33
2022,Physics and Astronomy (miscellaneous),26
2023,Physics and Astronomy (miscellaneous),13
2021,Physics and Astronomy (miscellaneous),35
2020,Development,11
2019,Development,11
2018,Development,10
2022,Development,24
2023,Development,17
2021,Development,18
2020,Nursing (all),12
2019,Nursing (all),8
2018,Nursing (all),14
2022,Nursing (all),21
2023,Nursing (all),17
2021,Nursing (all),20
2020,Computer Graphics and Computer-Aided Design,6
2019,Computer Graphics and Computer-Aided Design,5
2018,Computer Graphics and Computer-Aided Design,7
2022,Computer Graphics and Computer-Aided Design,10
2023,Computer Graphics and Computer-Aided Design,14
2021,Computer Graphics and Computer-Aided Design,4
2020,"Business, Management and Accounting (all)",32
2019,"Business, Management and Accounting (all)",13
2018,"Business, Management and Accounting (all)",11
2022,"Business, Management and Accounting (all)",23
2023,"Business, Management and Accounting (all)",18
2021,"Business, Management and Accounting (all)",23
2020,Health Informatics,9
2019,Health Informatics,14
2018,Health Informatics,3
2022,Health Informatics,23
2023,Health Informatics,10
2021,Health Informatics,22
2020,Algebra and Number Theory,4
2019,Algebra and Number Theory,7
2018,Algebra and Number Theory,6
2022,Algebra and Number Theory,9
2023,Algebra and Number Theory,1
2021,Algebra and Number Theory,6
2020,Experimental and Cognitive Psychology,2
2019,Experimental and Cognitive Psychology,0
2018,Experimental and Cognitive Psychology,3
2022,Experimental and Cognitive Psychology,10
2023,Experimental and Cognitive Psychology,6
2021,Experimental and Cognitive Psychology,5
2020,"Endocrinology, Diabetes and Metabolism",19
2019,"Endocrinology, Diabetes and Metabolism",28
2018,"Endocrinology, Diabetes and Metabolism",18
2022,"Endocrinology, Diabetes and Metabolism",27
2023,"Endocrinology, Diabetes and Metabolism",17
2021,"Endocrinology, Diabetes and Metabolism",22
2020,Earth and Planetary Sciences (all),40
2019,Earth and Planetary Sciences (all),27
2018,Earth and Planetary Sciences (all),25
2022,Earth and Planetary Sciences (all),16
2023,Earth and Planetary Sciences (all),12
2021,Earth and Planetary Sciences (all),26
2020,Computational Mechanics,4
2019,Computational Mechanics,7
2018,Computational Mechanics,9
2022,Computational Mechanics,4
2023,Computational Mechanics,3
2021,Computational Mechanics,3
2020,Otorhinolaryngology,20
2019,Otorhinolaryngology,24
2018,Otorhinolaryngology,23
2022,Otorhinolaryngology,40
2023,Otorhinolaryngology,36
2021,Otorhinolaryngology,35
2020,Endocrinology,15
2019,Endocrinology,12
2018,Endocrinology,12
2022,Endocrinology,14
2023,Endocrinology,9
2021,Endocrinology,12
2020,Industrial Relations,1
2019,Industrial Relations,0
2018,Industrial Relations,0
2022,Industrial Relations,1
2023,Industrial Relations,1
2021,Industrial Relations,1
2020,Ecology,23
2019,Ecology,16
2018,Ecology,18
2022,Ecology,38
2023,Ecology,37
2021,Ecology,36
2020,Psychiatry and Mental Health,33
2019,Psychiatry and Mental Health,23
2018,Psychiatry and Mental Health,28
2022,Psychiatry and Mental Health,36
2023,Psychiatry and Mental Health,42
2021,Psychiatry and Mental Health,34
2020,Computer Science (miscellaneous),10
2019,Computer Science (miscellaneous),34
2018,Computer Science (miscellaneous),5
2022,Computer Science (miscellaneous),57
2023,Computer Science (miscellaneous),17
2021,Computer Science (miscellaneous),18
2020,Anesthesiology and Pain Medicine,9
2019,Anesthesiology and Pain Medicine,7
2018,Anesthesiology and Pain Medicine,6
2022,Anesthesiology and Pain Medicine,11
2023,Anesthesiology and Pain Medicine,7
2021,Anesthesiology and Pain Medicine,7
2020,Oncology (nursing),1
2019,Oncology (nursing),3
2018,Oncology (nursing),0
2022,Oncology (nursing),0
2023,Oncology (nursing),1
2021,Oncology (nursing),2
2020,Social Sciences (miscellaneous),15
2019,Social Sciences (miscellaneous),20
2018,Social Sciences (miscellaneous),9
2022,Social Sciences (miscellaneous),18
2023,Social Sciences (miscellaneous),22
2021,Social Sciences (miscellaneous),18
2020,Nutrition and Dietetics,16
2019,Nutrition and Dietetics,15
2018,Nutrition and Dietetics,9
2022,Nutrition and Dietetics,38
2023,Nutrition and Dietetics,26
2021,Nutrition and Dietetics,26
2020,Health Professions (miscellaneous),3
2019,Health Professions (miscellaneous),0
2018,Health Professions (miscellaneous),2
2022,Health Professions (miscellaneous),15
2023,Health Professions (miscellaneous),21
2021,Health Professions (miscellaneous),7
2020,Medical and Surgical Nursing,0
2019,Medical and Surgical Nursing,1
2018,Medical and Surgical Nursing,1
2022,Medical and Surgical Nursing,1
2023,Medical and Surgical Nursing,1
2021,Medical and Surgical Nursing,3
2020,Engineering (all),137
2019,Engineering (all),110
2018,Engineering (all),89
2022,Engineering (all),128
2023,Engineering (all),66
2021,Engineering (all),105
2020,Inorganic Chemistry,19
2019,Inorganic Chemistry,25
2018,Inorganic Chemistry,15
2022,Inorganic Chemistry,52
2023,Inorganic Chemistry,42
2021,Inorganic Chemistry,27
2020,Atmospheric Science,7
2019,Atmospheric Science,4
2018,Atmospheric Science,4
2022,Atmospheric Science,5
2023,Atmospheric Science,4
2021,Atmospheric Science,9
2020,Agricultural and Biological Sciences (all),38
2019,Agricultural and Biological Sciences (all),21
2018,Agricultural and Biological Sciences (all),35
2022,Agricultural and Biological Sciences (all),66
2023,Agricultural and Biological Sciences (all),32
2021,Agricultural and Biological Sciences (all),37
2020,Filtration and Separation,2
2019,Filtration and Separation,7
2018,Filtration and Separation,7
2022,Filtration and Separation,14
2023,Filtration and Separation,5
2021,Filtration and Separation,6
2020,Microbiology (medical),38
2019,Microbiology (medical),35
2018,Microbiology (medical),29
2022,Microbiology (medical),57
2023,Microbiology (medical),32
2021,Microbiology (medical),73
2020,Information Systems,44
2019,Information Systems,91
2018,Information Systems,17
2022,Information Systems,79
2023,Information Systems,36
2021,Information Systems,55
2020,Mechanical Engineering,73
2019,Mechanical Engineering,78
2018,Mechanical Engineering,95
2022,Mechanical Engineering,66
2023,Mechanical Engineering,66
2021,Mechanical Engineering,60
2020,Drug Discovery,52
2019,Drug Discovery,51
2018,Drug Discovery,45
2022,Drug Discovery,103
2023,Drug Discovery,55
2021,Drug Discovery,79
2020,Oceanography,12
2019,Oceanography,7
2018,Oceanography,8
2022,Oceanography,18
2023,Oceanography,12
2021,Oceanography,10
2020,Pollution,67
2019,Pollution,41
2018,Pollution,38
2022,Pollution,86
2023,Pollution,62
2021,Pollution,78
2020,"Atomic and Molecular Physics, and Optics",25
2019,"Atomic and Molecular Physics, and Optics",17
2018,"Atomic and Molecular Physics, and Optics",17
2022,"Atomic and Molecular Physics, and Optics",24
2023,"Atomic and Molecular Physics, and Optics",41
2021,"Atomic and Molecular Physics, and Optics",32
2020,Oral Surgery,11
2019,Oral Surgery,9
2018,Oral Surgery,10
2022,Oral Surgery,25
2023,Oral Surgery,30
2021,Oral Surgery,17
2020,Multidisciplinary,147
2019,Multidisciplinary,101
2018,Multidisciplinary,84
2022,Multidisciplinary,309
2023,Multidisciplinary,191
2021,Multidisciplinary,256
2020,Gastroenterology,44
2019,Gastroenterology,55
2018,Gastroenterology,29
2022,Gastroenterology,46
2023,Gastroenterology,31
2021,Gastroenterology,50
2020,Paleontology,9
2019,Paleontology,6
2018,Paleontology,6
2022,Paleontology,13
2023,Paleontology,23
2021,Paleontology,15
2020,Computer Networks and Communications,95
2019,Computer Networks and Communications,161
2018,Computer Networks and Communications,99
2022,Computer Networks and Communications,154
2023,Computer Networks and Communications,84
2021,Computer Networks and Communications,106
2020,Endocrine and Autonomic Systems,1
2019,Endocrine and Autonomic Systems,2
2018,Endocrine and Autonomic Systems,1
2022,Endocrine and Autonomic Systems,3
2023,Endocrine and Autonomic Systems,1
2021,Endocrine and Autonomic Systems,4
2020,Transplantation,8
2019,Transplantation,4
2018,Transplantation,3
2022,Transplantation,13
2023,Transplantation,9
2021,Transplantation,18
2020,Neuroscience (miscellaneous),1
2019,Neuroscience (miscellaneous),0
2018,Neuroscience (miscellaneous),0
2022,Neuroscience (miscellaneous),4
2023,Neuroscience (miscellaneous),1
2021,Neuroscience (miscellaneous),0
2020,Mathematical Physics,11
2019,Mathematical Physics,7
2018,Mathematical Physics,5
2022,Mathematical Physics,7
2023,Mathematical Physics,2
2021,Mathematical Physics,9
2020,Neuroscience (all),21
2019,Neuroscience (all),21
2018,Neuroscience (all),21
2022,Neuroscience (all),23
2023,Neuroscience (all),23
2021,Neuroscience (all),23
2020,Complementary and Alternative Medicine,22
2019,Complementary and Alternative Medicine,25
2018,Complementary and Alternative Medicine,25
2022,Complementary and Alternative Medicine,26
2023,Complementary and Alternative Medicine,22
2021,Complementary and Alternative Medicine,21
2020,Process Chemistry and Technology,47
2019,Process Chemistry and Technology,34
2018,Process Chemistry and Technology,30
2022,Process Chemistry and Technology,48
2023,Process Chemistry and Technology,30
2021,Process Chemistry and Technology,53
2020,"Radiology, Nuclear Medicine and Imaging",30
2019,"Radiology, Nuclear Medicine and Imaging",44
2018,"Radiology, Nuclear Medicine and Imaging",30
2022,"Radiology, Nuclear Medicine and Imaging",55
2023,"Radiology, Nuclear Medicine and Imaging",37
2021,"Radiology, Nuclear Medicine and Imaging",46
2020,Toxicology,19
2019,Toxicology,19
2018,Toxicology,20
2022,Toxicology,19
2023,Toxicology,11
2021,Toxicology,17
2020,Earth and Planetary Sciences (miscellaneous),9
2019,Earth and Planetary Sciences (miscellaneous),6
2018,Earth and Planetary Sciences (miscellaneous),2
2022,Earth and Planetary Sciences (miscellaneous),14
2023,Earth and Planetary Sciences (miscellaneous),10
2021,Earth and Planetary Sciences (miscellaneous),9
2020,Assessment and Diagnosis,0
2019,Assessment and Diagnosis,0
2018,Assessment and Diagnosis,1
2022,Assessment and Diagnosis,2
2023,Assessment and Diagnosis,0
2021,Assessment and Diagnosis,0
2020,Biochemistry,93
2019,Biochemistry,82
2018,Biochemistry,91
2022,Biochemistry,104
2023,Biochemistry,105
2021,Biochemistry,122
2020,Control and Systems Engineering,26
2019,Control and Systems Engineering,35
2018,Control and Systems Engineering,24
2022,Control and Systems Engineering,26
2023,Control and Systems Engineering,31
2021,Control and Systems Engineering,23
2020,Communication,5
2019,Communication,5
2018,Communication,10
2022,Communication,9
2023,Communication,8
2021,Communication,7
2020,Neuropsychology and Physiological Psychology,1
2019,Neuropsychology and Physiological Psychology,1
2018,Neuropsychology and Physiological Psychology,1
2022,Neuropsychology and Physiological Psychology,3
2023,Neuropsychology and Physiological Psychology,3
2021,Neuropsychology and Physiological Psychology,7
2020,Chiropractics,0
2019,Chiropractics,0
2018,Chiropractics,1
2022,Chiropractics,0
2023,Chiropractics,0
2021,Chiropractics,0
2020,Developmental Biology,4
2019,Developmental Biology,7
2018,Developmental Biology,12
2022,Developmental Biology,5
2023,Developmental Biology,5
2021,Developmental Biology,2
2020,Decision Sciences (miscellaneous),3
2019,Decision Sciences (miscellaneous),8
2018,Decision Sciences (miscellaneous),3
2022,Decision Sciences (miscellaneous),12
2023,Decision Sciences (miscellaneous),4
2021,Decision Sciences (miscellaneous),6
2020,Visual Arts and Performing Arts,7
2019,Visual Arts and Performing Arts,4
2018,Visual Arts and Performing Arts,2
2022,Visual Arts and Performing Arts,14
2023,Visual Arts and Performing Arts,9
2021,Visual Arts and Performing Arts,14
2020,Mathematics (all),28
2019,Mathematics (all),23
2018,Mathematics (all),24
2022,Mathematics (all),34
2023,Mathematics (all),21
2021,Mathematics (all),17
2020,Arts and Humanities (miscellaneous),9
2019,Arts and Humanities (miscellaneous),32
2018,Arts and Humanities (miscellaneous),1
2022,Arts and Humanities (miscellaneous),9
2023,Arts and Humanities (miscellaneous),17
2021,Arts and Humanities (miscellaneous),6
2020,Physiology (medical),16
2019,Physiology (medical),11
2018,Physiology (medical),11
2022,Physiology (medical),26
2023,Physiology (medical),15
2021,Physiology (medical),18
2020,Applied Psychology,7
2019,Applied Psychology,9
2018,Applied Psychology,4
2022,Applied Psychology,4
2023,Applied Psychology,7
2021,Applied Psychology,2
2020,Transportation,14
2019,Transportation,7
2018,Transportation,4
2022,Transportation,10
2023,Transportation,14
2021,Transportation,17
2020,History and Philosophy of Science,3
2019,History and Philosophy of Science,4
2018,History and Philosophy of Science,3
2022,History and Philosophy of Science,3
2023,History and Philosophy of Science,3
2021,History and Philosophy of Science,7
2020,Chemical Health and Safety,1
2019,Chemical Health and Safety,0
2018,Chemical Health and Safety,1
2022,Chemical Health and Safety,3
2023,Chemical Health and Safety,1
2021,Chemical Health and Safety,2
2020,Earth-Surface Processes,9
2019,Earth-Surface Processes,6
2018,Earth-Surface Processes,4
2022,Earth-Surface Processes,6
2023,Earth-Surface Processes,5
2021,Earth-Surface Processes,6
2020,Infectious Diseases,127
2019,Infectious Diseases,111
2018,Infectious Diseases,90
2022,Infectious Diseases,185
2023,Infectious Diseases,97
2021,Infectious Diseases,143
2020,Parasitology,30
2019,Parasitology,9
2018,Parasitology,21
2022,Parasitology,30
2023,Parasitology,10
2021,Parasitology,23
2020,Genetics (clinical),11
2019,Genetics (clinical),14
2018,Genetics (clinical),11
2022,Genetics (clinical),11
2023,Genetics (clinical),12
2021,Genetics (clinical),13
2020,Human-Computer Interaction,42
2019,Human-Computer Interaction,71
2018,Human-Computer Interaction,24
2022,Human-Computer Interaction,27
2023,Human-Computer Interaction,12
2021,Human-Computer Interaction,36
2020,Environmental Science (all),88
2019,Environmental Science (all),63
2018,Environmental Science (all),46
2022,Environmental Science (all),51
2023,Environmental Science (all),55
2021,Environmental Science (all),72
2020,Medicine (all),118
2019,Medicine (all),106
2018,Medicine (all),92
2022,Medicine (all),132
2023,Medicine (all),86
2021,Medicine (all),146
2020,Geriatrics and Gerontology,12
2019,Geriatrics and Gerontology,19
2018,Geriatrics and Gerontology,9
2022,Geriatrics and Gerontology,9
2023,Geriatrics and Gerontology,11
2021,Geriatrics and Gerontology,15
2020,Strategy and Management,30
2019,Strategy and Management,20
2018,Strategy and Management,32
2022,Strategy and Management,47
2023,Strategy and Management,42
2021,Strategy and Management,40
2020,Human Factors and Ergonomics,1
2019,Human Factors and Ergonomics,1
2018,Human Factors and Ergonomics,2
2022,Human Factors and Ergonomics,2
2023,Human Factors and Ergonomics,3
2021,Human Factors and Ergonomics,3
2020,Medical Laboratory Technology,3
2019,Medical Laboratory Technology,4
2018,Medical Laboratory Technology,3
2022,Medical Laboratory Technology,4
2023,Medical Laboratory Technology,7
2021,Medical Laboratory Technology,3
2020,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",3
2019,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",5
2018,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",2
2022,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",6
2023,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",8
2021,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",9
2020,Chemistry (all),145
2019,Chemistry (all),118
2018,Chemistry (all),137
2022,Chemistry (all),175
2023,Chemistry (all),132
2021,Chemistry (all),198
2020,Health Policy,34
2019,Health Policy,30
2018,Health Policy,63
2022,Health Policy,51
2023,Health Policy,35
2021,Health Policy,36
2020,Agricultural and Biological Sciences (miscellaneous),12
2019,Agricultural and Biological Sciences (miscellaneous),13
2018,Agricultural and Biological Sciences (miscellaneous),12
2022,Agricultural and Biological Sciences (miscellaneous),25
2023,Agricultural and Biological Sciences (miscellaneous),29
2021,Agricultural and Biological Sciences (miscellaneous),32
2020,Computational Mathematics,11
2019,Computational Mathematics,6
2018,Computational Mathematics,8
2022,Computational Mathematics,12
2023,Computational Mathematics,3
2021,Computational Mathematics,12
2020,Developmental and Educational Psychology,1
2019,Developmental and Educational Psychology,1
2018,Developmental and Educational Psychology,2
2022,Developmental and Educational Psychology,6
2023,Developmental and Educational Psychology,5
2021,Developmental and Educational Psychology,2
2020,Soil Science,22
2019,Soil Science,12
2018,Soil Science,12
2022,Soil Science,10
2023,Soil Science,13
2021,Soil Science,14
2020,Ecological Modeling,12
2019,Ecological Modeling,5
2018,Ecological Modeling,1
2022,Ecological Modeling,4
2023,Ecological Modeling,3
2021,Ecological Modeling,13
2020,Statistical and Nonlinear Physics,1
2019,Statistical and Nonlinear Physics,5
2018,Statistical and Nonlinear Physics,2
2022,Statistical and Nonlinear Physics,4
2023,Statistical and Nonlinear Physics,2
2021,Statistical and Nonlinear Physics,6
2020,Family Practice,0
2019,Family Practice,0
2018,Family Practice,0
2022,Family Practice,0
2023,Family Practice,1
2021,Family Practice,0
2020,Optometry,0
2019,Optometry,0
2018,Optometry,0
2022,Optometry,1
2023,Optometry,0
2021,Optometry,0
2020,Control and Optimization,30
2019,Control and Optimization,51
2018,Control and Optimization,24
2022,Control and Optimization,44
2023,Control and Optimization,36
2021,Control and Optimization,36
2020,Ocean Engineering,6
2019,Ocean Engineering,8
2018,Ocean Engineering,9
2022,Ocean Engineering,7
2023,Ocean Engineering,7
2021,Ocean Engineering,8
2020,Histology,11
2019,Histology,8
2018,Histology,6
2022,Histology,9
2023,Histology,7
2021,Histology,6
2020,Critical Care Nursing,0
2019,Critical Care Nursing,0
2018,Critical Care Nursing,0
2022,Critical Care Nursing,0
2023,Critical Care Nursing,1
2021,Critical Care Nursing,1
2020,Urology,7
2019,Urology,16
2018,Urology,13
2022,Urology,7
2023,Urology,5
2021,Urology,12
2020,Social Sciences (all),39
2019,Social Sciences (all),27
2018,Social Sciences (all),39
2022,Social Sciences (all),59
2023,Social Sciences (all),25
2021,Social Sciences (all),59
2020,Finance,16
2019,Finance,9
2018,Finance,8
2022,Finance,24
2023,Finance,21
2021,Finance,25
2020,Speech and Hearing,1
2019,Speech and Hearing,0
2018,Speech and Hearing,0
2022,Speech and Hearing,0
2023,Speech and Hearing,0
2021,Speech and Hearing,3
2020,Behavioral Neuroscience,4
2019,Behavioral Neuroscience,6
2018,Behavioral Neuroscience,7
2022,Behavioral Neuroscience,10
2023,Behavioral Neuroscience,6
2021,Behavioral Neuroscience,12
2020,Space and Planetary Science,20
2019,Space and Planetary Science,9
2018,Space and Planetary Science,13
2022,Space and Planetary Science,15
2023,Space and Planetary Science,5
2021,Space and Planetary Science,17
2020,Condensed Matter Physics,96
2019,Condensed Matter Physics,83
2018,Condensed Matter Physics,99
2022,Condensed Matter Physics,93
2023,Condensed Matter Physics,69
2021,Condensed Matter Physics,109
2020,Astronomy and Astrophysics,18
2019,Astronomy and Astrophysics,10
2018,Astronomy and Astrophysics,13
2022,Astronomy and Astrophysics,13
2023,Astronomy and Astrophysics,4
2021,Astronomy and Astrophysics,23
2020,"Safety, Risk, Reliability and Quality",29
2019,"Safety, Risk, Reliability and Quality",20
2018,"Safety, Risk, Reliability and Quality",38
2022,"Safety, Risk, Reliability and Quality",42
2023,"Safety, Risk, Reliability and Quality",26
2021,"Safety, Risk, Reliability and Quality",39
2020,Computer Vision and Pattern Recognition,50
2019,Computer Vision and Pattern Recognition,67
2018,Computer Vision and Pattern Recognition,52
2022,Computer Vision and Pattern Recognition,60
2023,Computer Vision and Pattern Recognition,51
2021,Computer Vision and Pattern Recognition,37
2020,Cardiology and Cardiovascular Medicine,23
2019,Cardiology and Cardiovascular Medicine,18
2018,Cardiology and Cardiovascular Medicine,20
2022,Cardiology and Cardiovascular Medicine,37
2023,Cardiology and Cardiovascular Medicine,31
2021,Cardiology and Cardiovascular Medicine,42
2020,Electrical and Electronic Engineering,126
2019,Electrical and Electronic Engineering,130
2018,Electrical and Electronic Engineering,86
2022,Electrical and Electronic Engineering,144
2023,Electrical and Electronic Engineering,94
2021,Electrical and Electronic Engineering,125
2020,Immunology and Microbiology (miscellaneous),7
2019,Immunology and Microbiology (miscellaneous),4
2018,Immunology and Microbiology (miscellaneous),2
2022,Immunology and Microbiology (miscellaneous),14
2023,Immunology and Microbiology (miscellaneous),10
2021,Immunology and Microbiology (miscellaneous),12
2020,Computers in Earth Sciences,0
2019,Computers in Earth Sciences,2
2018,Computers in Earth Sciences,1
2022,Computers in Earth Sciences,2
2023,Computers in Earth Sciences,3
2021,Computers in Earth Sciences,2
2020,Food Science,62
2019,Food Science,47
2018,Food Science,41
2022,Food Science,107
2023,Food Science,72
2021,Food Science,69
2020,Nuclear and High Energy Physics,68
2019,Nuclear and High Energy Physics,96
2018,Nuclear and High Energy Physics,115
2022,Nuclear and High Energy Physics,53
2023,Nuclear and High Energy Physics,27
2021,Nuclear and High Energy Physics,66
2020,Analytical Chemistry,64
2019,Analytical Chemistry,71
2018,Analytical Chemistry,68
2022,Analytical Chemistry,109
2023,Analytical Chemistry,72
2021,Analytical Chemistry,97
2020,Health (social science),16
2019,Health (social science),10
2018,Health (social science),17
2022,Health (social science),35
2023,Health (social science),21
2021,Health (social science),29
2020,Developmental Neuroscience,1
2019,Developmental Neuroscience,2
2018,Developmental Neuroscience,1
2022,Developmental Neuroscience,2
2023,Developmental Neuroscience,3
2021,Developmental Neuroscience,1
2020,Critical Care and Intensive Care Medicine,24
2019,Critical Care and Intensive Care Medicine,13
2018,Critical Care and Intensive Care Medicine,14
2022,Critical Care and Intensive Care Medicine,10
2023,Critical Care and Intensive Care Medicine,8
2021,Critical Care and Intensive Care Medicine,19
2020,Health Professions (all),2
2019,Health Professions (all),2
2018,Health Professions (all),0
2022,Health Professions (all),3
2023,Health Professions (all),0
2021,Health Professions (all),2
2020,"Geography, Planning and Development",40
2019,"Geography, Planning and Development",18
2018,"Geography, Planning and Development",14
2022,"Geography, Planning and Development",91
2023,"Geography, Planning and Development",49
2021,"Geography, Planning and Development",67
2020,Marketing,6
2019,Marketing,12
2018,Marketing,10
2022,Marketing,12
2023,Marketing,5
2021,Marketing,6
2020,Geochemistry and Petrology,10
2019,Geochemistry and Petrology,13
2018,Geochemistry and Petrology,13
2022,Geochemistry and Petrology,1
2023,Geochemistry and Petrology,8
2021,Geochemistry and Petrology,6
2020,Complementary and Manual Therapy,4
2019,Complementary and Manual Therapy,2
2018,Complementary and Manual Therapy,0
2022,Complementary and Manual Therapy,3
2023,Complementary and Manual Therapy,0
2021,Complementary and Manual Therapy,2
2020,Biomaterials,20
2019,Biomaterials,19
2018,Biomaterials,16
2022,Biomaterials,32
2023,Biomaterials,42
2021,Biomaterials,32
2020,Sociology and Political Science,23
2019,Sociology and Political Science,13
2018,Sociology and Political Science,18
2022,Sociology and Political Science,25
2023,Sociology and Political Science,16
2021,Sociology and Political Science,31
2020,Dental Assisting,0
2019,Dental Assisting,0
2018,Dental Assisting,0
2022,Dental Assisting,1
2023,Dental Assisting,0
2021,Dental Assisting,2
2020,Global and Planetary Change,9
2019,Global and Planetary Change,5
2018,Global and Planetary Change,9
2022,Global and Planetary Change,13
2023,Global and Planetary Change,4
2021,Global and Planetary Change,10
2020,Structural Biology,11
2019,Structural Biology,11
2018,Structural Biology,11
2022,Structural Biology,13
2023,Structural Biology,22
2021,Structural Biology,15
2020,Small Animals,6
2019,Small Animals,5
2018,Small Animals,6
2022,Small Animals,5
2023,Small Animals,4
2021,Small Animals,2
2020,Bioengineering,31
2019,Bioengineering,32
2018,Bioengineering,23
2022,Bioengineering,49
2023,Bioengineering,37
2021,Bioengineering,46
2020,Fundamentals and Skills,1
2019,Fundamentals and Skills,0
2018,Fundamentals and Skills,1
2022,Fundamentals and Skills,2
2023,Fundamentals and Skills,0
2021,Fundamentals and Skills,1
2020,"Economics, Econometrics and Finance (all)",38
2019,"Economics, Econometrics and Finance (all)",21
2018,"Economics, Econometrics and Finance (all)",14
2022,"Economics, Econometrics and Finance (all)",17
2023,"Economics, Econometrics and Finance (all)",27
2021,"Economics, Econometrics and Finance (all)",27
2020,Emergency Nursing,0
2019,Emergency Nursing,0
2018,Emergency Nursing,0
2022,Emergency Nursing,0
2023,Emergency Nursing,0
2021,Emergency Nursing,1
2020,Rehabilitation,13
2019,Rehabilitation,8
2018,Rehabilitation,5
2022,Rehabilitation,11
2023,Rehabilitation,6
2021,Rehabilitation,11
2020,Organic Chemistry,87
2019,Organic Chemistry,94
2018,Organic Chemistry,69
2022,Organic Chemistry,143
2023,Organic Chemistry,97
2021,Organic Chemistry,109
2020,Surgery,52
2019,Surgery,45
2018,Surgery,34
2022,Surgery,82
2023,Surgery,69
2021,Surgery,63
2020,Engineering (miscellaneous),44
2019,Engineering (miscellaneous),41
2018,Engineering (miscellaneous),35
2022,Engineering (miscellaneous),54
2023,Engineering (miscellaneous),26
2021,Engineering (miscellaneous),44
2020,Economics and Econometrics,49
2019,Economics and Econometrics,29
2018,Economics and Econometrics,23
2022,Economics and Econometrics,34
2023,Economics and Econometrics,24
2021,Economics and Econometrics,42
2020,Sensory Systems,2
2019,Sensory Systems,5
2018,Sensory Systems,5
2022,Sensory Systems,5
2023,Sensory Systems,3
2021,Sensory Systems,1
2020,Genetics,47
2019,Genetics,45
2018,Genetics,42
2022,Genetics,45
2023,Genetics,30
2021,Genetics,45
2020,Oncology,51
2019,Oncology,42
2018,Oncology,34
